project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20240100H,03/03/25,800,1900,480,False,,-,660.0,8.0,2176.0
20240100H,03/04/25,948,1042,60,False,,-,60.0,1.0,272.0
20240100H,03/05/25,845,1100,480,True,True,3/5 @ 1100 due to AE,135.0,0.0,0.0
20240100H,03/06/25,0,0,60,True,True,3/5 @ 1100 due to AE,0.0,0.0,0.0
20240100H,03/07/25,0,0,480,True,True,3/5 @ 1100 due to AE,0.0,0.0,0.0
20240100H,03/08/25,0,0,60,True,True,3/5 @ 1100 due to AE,0.0,0.0,0.0
20240100H,03/10/25,930,1615,480,False,,-,405.0,8.0,2176.0
20240100H,03/11/25,1030,1130,60,False,,-,60.0,1.0,272.0
20240100H,03/14/25,845,1845,480,False,,-,600.0,8.0,2176.0
20240100H,03/15/25,945,1045,60,False,,-,60.0,1.0,272.0
2022-0005,03/17/25,800,1000,105,False,,-,120.0,2.0,544.0
2022-0005,03/17/25,1130,1330,105,False,,-,120.0,2.0,544.0
2022-0010,03/18/25,1430,1630,90,False,,-,120.0,2.0,544.0
2022-0005,03/19/25,0,0,105,True,True,3/19 @ 0815 no show,0.0,0.0,0.0
2024-663,03/19/25,1050,1155,60,False,,-,75.0,1.25,340.0
2022-0005,03/19/25,1230,1645,105,False,,-,255.0,4.25,1156.0
2022-0010,03/21/25,915,1100,105,False,,-,105.0,1.75,476.0
2022-0005,03/21/25,1415,1545,105,False,,-,90.0,1.75,476.0
2022-0010,03/24/25,1000,1140,90,False,,-,105.0,1.75,476.0
2022-0010,03/24/25,1445,1615,105,False,,-,90.0,1.75,476.0
2022-0005,03/25/25,715,900,90,False,,-,105.0,1.75,476.0
2022-0005,03/25/25,1415,1600,90,False,,-,105.0,1.75,476.0
2022-0010,03/26/25,1415,1530,105,False,,-,75.0,1.75,476.0
20240100H,03/28/25,905,1915,480,False,,-,615.0,8.0,2176.0
20240100H,03/29/25,1010,1110,60,False,,-,60.0,1.0,272.0
20240100H,03/31/25,900,1045,480,False,,-,105.0,8.0,2176.0
